"run","mindir","probMoveRange","randomSeed","remembered","maxdir","savecoords","numAgents","steplength","eggsperlay","perception"
1,0.5,0.063,-208966494,100,0.75,"false",280,30,2,50
2,0.5,0.063,-208967054,100,0.75,"false",280,30,2,50
3,0.5,0.063,-208966285,100,0.75,"false",280,30,2,50
4,0.5,0.063,-208966159,100,0.75,"false",280,30,2,50
5,0.5,0.063,-208966654,100,0.75,"false",280,30,2,50
6,0.5,0.063,-208966336,100,0.75,"false",280,30,2,50
7,0.5,0.063,-208965684,100,0.75,"false",280,30,2,50
8,0.5,0.063,-208966422,100,0.75,"false",280,30,2,50
9,0.5,0.063,-208966548,100,0.75,"false",280,30,2,50
10,0.5,0.063,-208965692,100,0.75,"false",280,30,2,50
